status	relative_path	left_size	right_size	delta_right_minus_left	left_target	right_target
different	usr/lib/swift/appletvsimulator/Observation.swiftmodule/arm64-apple-tvos-simulator.swiftdoc	8516	8516	0		
different	usr/lib/swift/appletvsimulator/Observation.swiftmodule/arm64-apple-tvos-simulator.swiftinterface	10485	10485	0		
different	usr/lib/swift/appletvsimulator/Observation.swiftmodule/arm64-apple-tvos-simulator.swiftmodule	99944	99944	0		
different	usr/lib/swift/appletvsimulator/Observation.swiftmodule/arm64-apple-tvos-simulator.swiftsourceinfo	18232	18232	0		
different	usr/lib/swift/appletvsimulator/Observation.swiftmodule/x86_64-apple-tvos-simulator.private.swiftinterface	12007	12007	0		
different	usr/lib/swift/appletvsimulator/Observation.swiftmodule/x86_64-apple-tvos-simulator.swiftdoc	8516	8516	0		
different	usr/lib/swift/appletvsimulator/Observation.swiftmodule/x86_64-apple-tvos-simulator.swiftinterface	10486	10486	0		
different	usr/lib/swift/appletvsimulator/Observation.swiftmodule/x86_64-apple-tvos-simulator.swiftmodule	99944	99944	0		
different	usr/lib/swift/appletvsimulator/Observation.swiftmodule/x86_64-apple-tvos-simulator.swiftsourceinfo	18232	18232	0		
different	usr/lib/swift/appletvsimulator/RegexBuilder.swiftmodule/arm64-apple-tvos-simulator.private.swiftinterface	206087	206087	0		
different	usr/lib/swift/appletvsimulator/RegexBuilder.swiftmodule/arm64-apple-tvos-simulator.swiftdoc	265768	265768	0		
different	usr/lib/swift/appletvsimulator/RegexBuilder.swiftmodule/arm64-apple-tvos-simulator.swiftinterface	206067	206067	0		
different	usr/lib/swift/appletvsimulator/RegexBuilder.swiftmodule/arm64-apple-tvos-simulator.swiftmodule	1231992	1231992	0		
different	usr/lib/swift/appletvsimulator/RegexBuilder.swiftmodule/arm64-apple-tvos-simulator.swiftsourceinfo	359892	359892	0		
different	usr/lib/swift/appletvsimulator/RegexBuilder.swiftmodule/x86_64-apple-tvos-simulator.private.swiftinterface	206088	206088	0		
different	usr/lib/swift/appletvsimulator/RegexBuilder.swiftmodule/x86_64-apple-tvos-simulator.swiftdoc	265768	265768	0		
different	usr/lib/swift/appletvsimulator/RegexBuilder.swiftmodule/x86_64-apple-tvos-simulator.swiftinterface	206068	206068	0		
different	usr/lib/swift/appletvsimulator/RegexBuilder.swiftmodule/x86_64-apple-tvos-simulator.swiftmodule	1231992	1231992	0		
different	usr/lib/swift/appletvsimulator/RegexBuilder.swiftmodule/x86_64-apple-tvos-simulator.swiftsourceinfo	359892	359892	0		
different	usr/lib/swift/appletvsimulator/Swift.swiftmodule/Swift.opt.bitstream	1924356	1924356	0		
different	usr/lib/swift/appletvsimulator/Swift.swiftmodule/arm64-apple-tvos-simulator.private.swiftinterface	2403126	2403126	0		
different	usr/lib/swift/appletvsimulator/Swift.swiftmodule/arm64-apple-tvos-simulator.swiftdoc	4372272	4372272	0		
different	usr/lib/swift/appletvsimulator/Swift.swiftmodule/arm64-apple-tvos-simulator.swiftinterface	2347712	2347712	0		
different	usr/lib/swift/appletvsimulator/Swift.swiftmodule/arm64-apple-tvos-simulator.swiftmodule	17067160	17067160	0		
different	usr/lib/swift/appletvsimulator/Swift.swiftmodule/arm64-apple-tvos-simulator.swiftsourceinfo	4046732	4046732	0		
different	usr/lib/swift/appletvsimulator/Swift.swiftmodule/x86_64-apple-tvos-simulator.private.swiftinterface	2436495	2436495	0		
different	usr/lib/swift/appletvsimulator/Swift.swiftmodule/x86_64-apple-tvos-simulator.swiftdoc	4424676	4424676	0		
different	usr/lib/swift/appletvsimulator/Swift.swiftmodule/x86_64-apple-tvos-simulator.swiftinterface	2381081	2381081	0		
